rawID	subjID	choice	effort	reward	trial
911	1004	1	8	20	30
911	1004	1	6	15	31
911	1004	1	4	20	32
911	1004	0	10	5	33
911	1004	0	10	15	34
911	1004	0	10	25	35
911	1004	1	4	10	36
911	1004	1	2	10	37
911	1004	1	10	20	38
911	1004	1	2	5	39
911	1004	1	10	10	40
911	1004	1	8	15	41
911	1004	1	6	10	42
911	1004	1	2	15	43
911	1004	1	4	15	44
911	1004	1	8	10	45
911	1004	1	8	5	46
911	1004	1	8	25	47
911	1004	1	6	5	48
911	1004	1	4	5	49
911	1004	1	6	25	50
913	1005	0	10	20	1
913	1005	1	10	10	2
913	1005	1	6	5	3
913	1005	1	2	20	4
913	1005	1	2	5	5
913	1005	0	8	25	6
913	1005	1	4	10	7
913	1005	0	10	15	8
913	1005	0	10	5	9
913	1005	1	4	5	10
913	1005	1	6	15	11
913	1005	1	8	15	12
913	1005	1	2	25	13
913	1005	1	4	20	14
913	1005	1	6	20	15
913	1005	1	2	15	16
913	1005	1	6	25	17
913	1005	0	8	5	18
913	1005	1	4	15	19
913	1005	1	6	10	20
913	1005	1	2	10	21
913	1005	0	10	25	22
913	1005	1	8	10	23
913	1005	1	8	20	24
913	1005	1	4	25	25
913	1005	1	4	20	26
913	1005	1	6	20	27
913	1005	1	6	10	28
913	1005	1	2	5	29
913	1005	1	2	10	30
913	1005	0	8	5	31
913	1005	1	4	10	32
913	1005	0	10	20	33
913	1005	0	10	25	34
913	1005	0	6	5	35
913	1005	0	10	15	36
913	1005	1	2	15	37
913	1005	1	8	25	38
913	1005	1	2	20	39
913	1005	0	10	10	40
913	1005	1	8	20	41
913	1005	1	6	25	42
913	1005	0	6	15	43
913	1005	0	10	5	44
913	1005	1	4	25	45
913	1005	1	4	15	46
913	1005	1	8	10	47
913	1005	1	4	5	48
913	1005	1	2	25	49
913	1005	0	8	15	50
917	1006	1	8	25	1
917	1006	1	10	15	2
917	1006	1	4	10	3
917	1006	1	2	10	4
917	1006	1	2	25	5
917	1006	1	4	20	6
917	1006	0	10	5	7
917	1006	0	8	5	8
917	1006	0	10	10	9
917	1006	1	6	15	10
917	1006	0	6	5	11
917	1006	1	6	10	12
917	1006	1	4	15	13
917	1006	1	2	5	14
917	1006	1	4	25	15
917	1006	1	8	15	16
917	1006	1	2	15	17
917	1006	0	8	10	18
917	1006	1	6	20	19
917	1006	1	10	25	20
917	1006	1	8	20	21
917	1006	1	2	20	22
917	1006	1	10	20	23
917	1006	1	6	25	24
917	1006	1	4	5	25
917	1006	1	6	20	26
917	1006	1	8	25	27
917	1006	1	4	20	28
917	1006	1	2	5	29
917	1006	1	10	25	30
917	1006	1	8	15	31
917	1006	1	4	10	32
917	1006	1	4	25	33
917	1006	1	4	5	34
917	1006	1	2	10	35
917	1006	1	2	20	36
917	1006	1	6	5	37
917	1006	0	10	10	38
917	1006	0	8	10	39
917	1006	1	2	25	40
917	1006	1	6	10	41
917	1006	1	8	20	42
917	1006	0	10	15	43
917	1006	0	10	5	44
917	1006	1	4	15	45
917	1006	1	8	5	46
917	1006	0	10	20	47
917	1006	1	2	15	48
917	1006	1	6	25	49
917	1006	1	6	15	50
918	1007	0	8	20	1
918	1007	0	8	15	2
918	1007	0	8	5	3
918	1007	1	2	20	4
918	1007	0	10	20	5
918	1007	1	6	20	6
918	1007	1	4	20	7
918	1007	1	2	10	8
918	1007	0	10	15	9
918	1007	0	10	25	10
918	1007	1	4	15	11
918	1007	0	6	10	12
918	1007	0	4	5	13
918	1007	0	8	10	14
918	1007	0	10	10	15
918	1007	1	6	25	16
918	1007	0	10	5	17
918	1007	1	2	15	18
918	1007	1	8	25	19
918	1007	1	2	5	20
918	1007	1	4	25	21
918	1007	1	2	25	22
918	1007	1	4	10	23
918	1007	0	6	5	24
918	1007	0	6	15	25
918	1007	0	10	10	26
918	1007	0	4	5	27
